"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
51,8,1,7,2,NA,1,1,0.51
51,8,1,8,2,NA,1,1,0.924
51,8,1,9,1,NA,1,1,0.745
51,8,1,10,1,NA,1,1,0.576
51,8,1,11,1,NA,1,1,0.584
51,8,1,12,2,NA,1,1,0.593
51,8,1,13,2,NA,1,0,0.766
51,8,1,14,2,NA,1,1,0.763
51,8,1,15,1,NA,1,1,0.439
51,8,1,16,2,NA,1,1,0.63
51,8,1,17,2,NA,1,1,0.809
51,8,1,18,2,NA,1,1,0.766
51,8,1,19,2,NA,1,0,0.691
51,8,1,20,1,NA,1,1,0.817
51,8,1,21,1,NA,1,1,0.438
51,8,1,22,2,NA,1,1,1.038
51,8,1,23,1,NA,1,1,0.772
51,8,1,24,2,NA,1,1,1.192
51,8,1,25,1,NA,1,1,0.866
51,8,1,26,2,NA,1,1,0.776
