"datasetid","subject","block","trial","congruency","between","within","accuracy","rt"
4,"3","1",10,"2",1,NA,1,0.636456
4,"3","1",11,"2",1,NA,1,0.686671
4,"3","1",12,"1",1,NA,1,0.510902
4,"3","1",13,"1",1,NA,1,0.646398
4,"3","1",15,"1",1,NA,1,0.549769
4,"3","1",16,"1",1,NA,1,0.507943
4,"3","1",18,"1",1,NA,1,0.809007
4,"3","1",19,"1",1,NA,1,0.57255
4,"3","1",20,"1",1,NA,1,0.53741
4,"3","1",21,"2",1,NA,1,0.575598
4,"3","1",22,"2",1,NA,1,0.6035
4,"3","1",23,"2",1,NA,1,0.583004
4,"3","1",26,"2",1,NA,1,0.51755
4,"3","1",27,"2",1,NA,1,0.676373
4,"3","1",28,"1",1,NA,1,0.453291
4,"3","1",29,"2",1,NA,1,0.806774
4,"3","1",30,"1",1,NA,1,0.602442
4,"3","1",31,"1",1,NA,0,0.548905
4,"3","1",34,"2",1,NA,1,0.645541
4,"3","1",35,"2",1,NA,1,0.743791
4,"3","1",36,"2",1,NA,1,0.622002
4,"3","1",38,"2",1,NA,1,0.691839
4,"3","1",39,"1",1,NA,1,0.531032
4,"3","1",40,"1",1,NA,1,0.513899
4,"3","1",41,"2",1,NA,1,0.617416
4,"3","1",42,"2",1,NA,1,0.620292
4,"3","1",43,"1",1,NA,1,0.607169
4,"3","1",44,"1",1,NA,1,0.554695
4,"3","1",46,"2",1,NA,1,0.857115
4,"3","1",48,"2",1,NA,1,0.480553
4,"3","1",49,"1",1,NA,1,0.465361
4,"3","1",52,"2",1,NA,1,0.629907
4,"3","1",54,"1",1,NA,1,0.440224
4,"3","1",57,"1",1,NA,1,0.5504
4,"3","1",59,"2",1,NA,1,0.51339
4,"3","1",60,"1",1,NA,1,0.5129
4,"3","1",61,"2",1,NA,1,0.752415
4,"3","1",62,"1",1,NA,1,0.50197
4,"3","1",63,"2",1,NA,1,0.653491
4,"3","1",65,"2",1,NA,0,0.420274
4,"3","1",68,"1",1,NA,1,0.501439
4,"3","1",69,"1",1,NA,1,0.524906
4,"3","1",71,"1",1,NA,1,0.530696
4,"3","1",72,"2",1,NA,1,0.64847
4,"3","1",73,"2",1,NA,1,0.610751
4,"3","2",4,"2",1,NA,1,0.529054
4,"3","2",5,"1",1,NA,1,0.599891
4,"3","2",6,"2",1,NA,1,0.65212
4,"3","2",8,"1",1,NA,1,0.481828
4,"3","2",11,"1",1,NA,1,0.675777
4,"3","2",12,"1",1,NA,1,0.44366
4,"3","2",14,"2",1,NA,1,0.90339
4,"3","2",15,"1",1,NA,1,0.519016
4,"3","2",17,"1",1,NA,1,0.64337
4,"3","2",18,"1",1,NA,1,0.549624
4,"3","2",19,"2",1,NA,1,0.650763
4,"3","2",20,"2",1,NA,1,0.59632
4,"3","2",22,"1",1,NA,1,0.572733
4,"3","2",23,"1",1,NA,1,0.70556
4,"3","2",24,"1",1,NA,1,0.577154
4,"3","2",27,"2",1,NA,1,0.610318
4,"3","2",28,"1",1,NA,1,0.516873
4,"3","2",29,"2",1,NA,1,0.580367
4,"3","2",31,"1",1,NA,1,0.530076
4,"3","2",33,"1",1,NA,1,0.629145
4,"3","2",34,"1",1,NA,1,0.656041
4,"3","2",35,"2",1,NA,1,0.681571
4,"3","2",36,"2",1,NA,1,0.577462
4,"3","2",37,"1",1,NA,1,0.654302
4,"3","2",38,"1",1,NA,1,0.639855
4,"3","2",39,"1",1,NA,1,0.578075
4,"3","2",40,"2",1,NA,1,0.774954
4,"3","2",41,"1",1,NA,1,0.619877
4,"3","2",42,"1",1,NA,1,0.558763
4,"3","2",44,"2",1,NA,1,0.573496
4,"3","2",48,"2",1,NA,1,0.683632
4,"3","2",51,"2",1,NA,1,0.666323
4,"3","2",52,"1",1,NA,1,0.650897
4,"3","2",56,"1",1,NA,1,0.544538
